,loss,accuracy,model
201,"tensor(3.7568e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
202,"tensor(6.1569e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.86,TransductiveSuperGAT
203,"tensor(4.8921e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
204,"tensor(3.3067e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
205,"tensor(5.2830e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
206,"tensor(4.7450e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
207,"tensor(2.9487e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
208,"tensor(4.4038e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
209,"tensor(3.0165e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
210,"tensor(2.3739e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
211,"tensor(3.6598e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
212,"tensor(4.5437e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
213,"tensor(5.4261e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
214,"tensor(3.4219e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
215,"tensor(4.9213e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
216,"tensor(2.0835e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
217,"tensor(5.4375e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
218,"tensor(5.6551e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
219,"tensor(4.4521e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8566666666666667,TransductiveSuperGAT
220,"tensor(2.6011e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
221,"tensor(3.5212e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
222,"tensor(4.5000e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
223,"tensor(4.8029e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8833333333333333,TransductiveSuperGAT
224,"tensor(8.5842e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
